track,entry,exit,strategy,put_k,call_k,contracts,debit,exit_val,pnl,ret_pct,result,reason,rolls
portfolio_1k,2026-05-26,2026-06-01,calendar_call,695,765,1,1.01,1.51,50.0,49.5,tp,take profit +50%,0
signal_edge,2026-06-01,2026-06-05,calendar_call,710,775,1,1.04,0.34,-69.48,-67.0,sl,stop loss -67%,0
portfolio_1k,2026-06-01,2026-06-05,calendar_call,710,775,1,1.04,0.34,-69.48,-67.0,sl,stop loss -67%,0
signal_edge,2026-06-05,2026-06-11,double_diagonal,660,750,1,1.4,2.26,85.8,61.4,tp,take profit +61%,0
portfolio_1k,2026-06-05,2026-06-11,double_diagonal,660,750,1,1.4,2.26,85.8,61.4,tp,take profit +61%,0
signal_edge,2026-06-11,2026-06-15,calendar_call,665,770,1,1.63,3.59,195.72,119.7,tp,take profit +120%,0
signal_edge,2026-06-18,2026-06-23,calendar_call,675,805,1,1.81,0.62,-118.29,-65.5,sl,stop loss -66%,0
signal_edge,2026-06-23,2026-06-30,calendar_call,650,780,1,1.9,3.45,154.75,81.5,tp,take profit +81%,0
signal_edge,2026-06-30,2026-07-02,calendar_call,665,805,1,2.19,1.08,-111.51,-50.8,sl,stop loss -51%,0
signal_edge,2026-07-02,2026-07-08,calendar_call,645,780,1,2.2,1.19,-100.41,-45.7,sl,stop loss -46%,0
signal_edge,2026-07-08,2026-07-09,calendar_call,650,775,1,1.83,2.46,62.71,34.2,tp,take profit +34%,0
signal_edge,2026-07-09,2026-07-13,calendar_call,660,785,1,2.01,1.12,-88.3,-44.0,sl,stop loss -44%,0
signal_edge,2026-07-13,2026-07-16,calendar_call,650,775,1,1.8,0.78,-101.71,-56.6,sl,stop loss -57%,0
signal_edge,2026-07-16,2026-07-17,calendar_call,655,760,1,1.54,0.96,-57.69,-37.5,sl,stop loss -37%,0
signal_edge,2026-07-17,2026-07-21,calendar_call,645,745,1,1.64,2.22,58.33,35.6,tp,take profit +36%,0
signal_edge,2026-07-21,2026-07-23,calendar_call,660,760,1,1.51,0.48,-102.51,-68.0,sl,stop loss -68%,0
signal_edge,2026-07-23,2026-07-27,calendar_call,645,740,1,1.29,0.64,-64.45,-50.0,sl,stop loss -50%,0
portfolio_1k,2026-07-23,2026-07-27,calendar_call,645,740,1,1.29,0.64,-64.45,-50.0,sl,stop loss -50%,0
signal_edge,2026-07-30,2026-08-03,calendar_call,635,730,1,1.46,2.43,97.42,66.9,tp,take profit +67%,0
portfolio_1k,2026-07-30,2026-08-03,calendar_call,635,730,1,1.46,2.43,97.42,66.9,tp,take profit +67%,0
signal_edge,2026-08-03,2026-08-04,calendar_call,650,750,1,1.4,3.07,167.05,119.0,tp,take profit +119%,0
portfolio_1k,2026-08-03,2026-08-04,calendar_call,650,750,1,1.4,3.07,167.05,119.0,tp,take profit +119%,0
signal_edge,2026-08-04,2026-08-06,calendar_call,670,780,1,1.62,1.0,-62.52,-38.5,sl,stop loss -39%,0
signal_edge,2026-08-06,2026-08-13,calendar_call,660,770,1,1.51,2.12,61.26,40.6,tp,take profit +41%,0
signal_edge,2026-08-13,2026-08-17,double_calendar,680,785,1,2.65,1.83,-81.57,-30.8,sl,stop loss -31%,0
signal_edge,2026-08-17,2026-08-18,calendar_call,680,780,1,1.41,0.93,-47.16,-33.5,sl,stop loss -34%,0
portfolio_1k,2026-08-17,2026-08-18,calendar_call,680,780,1,1.41,0.93,-47.16,-33.5,sl,stop loss -34%,0
signal_edge,2026-08-18,2026-08-20,calendar_call,670,765,1,1.61,1.09,-52.29,-32.4,sl,stop loss -32%,0
signal_edge,2026-08-20,2026-08-24,calendar_call,665,760,1,1.4,0.81,-58.66,-42.0,sl,stop loss -42%,0
portfolio_1k,2026-08-20,2026-08-24,calendar_call,665,760,1,1.4,0.81,-58.66,-42.0,sl,stop loss -42%,0
signal_edge,2026-08-24,2026-08-24,calendar_call,660,750,1,1.44,1.44,0.0,0.0,eod_close,backtest ended,0
portfolio_1k,2026-08-24,2026-08-24,calendar_call,660,750,1,1.44,1.44,0.0,0.0,eod_close,backtest ended,0
